name,municipality
Gymnázium Vavrinca Benedikta Nedožerského,Prievidza
Gymnázium Viliama Paulinyho Tótha a Obchodná akadémia,Martin
Gymnázium Vojtecha Mihálika,Sereď
Gymnázium Zoltána Kodálya s vyučovacím jazykom maďarským - Kodály Zoltán Gimnázium,Galanta
Gymnázium Ármina Vámbéryho s vyučovacím jazykom maďarským - Vámbéry Ármin Gimnázium,Dunajská Streda
Gymnázium Ľudovíta Jaroslava Šuleka,Komárno
Gymnázium Ľudovíta Štúra (Trenčín),Trenčín
Gymnázium Ľudovíta Štúra (Zvolen),Zvolen
"Gymnázium školských bratov, ako organizačná zložka Spojenej školy de La Salle",Bratislava-Rača
Gymnázium Štefana Moysesa a Stredná odborná škola agrotechnická - Agrotechnikai Szakközépiskola,Moldava nad Bodvou
"Gymnázium, ako organizačná zložka Spojenej školy",Bratislava-Karlova Ves
"Gymnázium, ako organizačná zložka Spojenej školy sv. Vincenta de Paul",Bratislava-Ružinov
"Gymnázium, Obchodná akadémia a Stredná odborná škola technická",Detva
Gymnázium-Gimnázium a Stredná odborná škola techniky a služieb-Műszaki és Szolgáltatóipari Szakközépiskola,Veľké Kapušany
Hotelová akadémia (Bratislava-Nové Mesto),Bratislava-Nové Mesto
Hotelová akadémia (Humenné),Humenné
Hotelová akadémia (Košice-Juh),Košice-Juh
Hotelová akadémia (Liptovský Mikuláš),Liptovský Mikuláš
Hotelová akadémia (Prešov),Prešov
Hotelová akadémia (Spišská Nová Ves),Spišská Nová Ves
Hotelová akadémia (Žilina),Žilina
Hotelová akadémia a Obchodná akadémia,Brezno
Hotelová akadémia Otta Brucknera,Kežmarok
Hotelová akadémia Ľudovíta Wintera,Piešťany
Katolícka spojená škola sv. Františka Assiského,Banská Štiavnica
Katolícke gymnázium Štefana Moysesa,Banská Bystrica
Konzervatórium (Bratislava-Staré Mesto),Bratislava-Staré Mesto
Konzervatórium (Žilina),Žilina
Konzervatórium Jozefa Adamoviča a Konzervatórium Petra Dvorského,Košice-Staré Mesto
Konzervatórium Jána Levoslava Bellu,Banská Bystrica
Obchodná akadémia (Bratislava-Nové Mesto),Bratislava-Nové Mesto
Obchodná akadémia (Bratislava-Petržalka),Bratislava-Petržalka
Obchodná akadémia (Bratislava-Ružinov),Bratislava-Ružinov
Obchodná akadémia (Dolný Kubín),Dolný Kubín
Obchodná akadémia (Humenné),Humenné
Obchodná akadémia (Košice-Nad jazerom),Košice-Nad jazerom
Obchodná akadémia (Košice-Sever),Košice-Sever
Obchodná akadémia (Michalovce),Michalovce
Obchodná akadémia (Nitra),Nitra
Obchodná akadémia (Poprad),Poprad
Obchodná akadémia (Považská Bystrica),Považská Bystrica
Obchodná akadémia (Prievidza),Prievidza
Obchodná akadémia (Ružomberok),Ružomberok
Obchodná akadémia (Senica),Senica
Obchodná akadémia (Sereď),Sereď
Obchodná akadémia (Topoľčany),Topoľčany
Obchodná akadémia (Trnava),Trnava
Obchodná akadémia (Vranov nad Topľou),Vranov nad Topľou
Obchodná akadémia (Šurany),Šurany
Obchodná akadémia (Žilina),Žilina
Obchodná akadémia - Kereskedelmi Akadémia,Veľký Meder
Obchodná akadémia a Stredná odborná škola obchodu a služieb,Rožňava
"Obchodná akadémia a Stredná odborná škola obchodu a služieb, SNP 5, Zlaté Moravce",Zlaté Moravce
Obchodná akadémia ako organizačná zložka Spojenej školy,Svidník
Obchodná akadémia Dušana Metoda Janotu,Čadca
Obchodná akadémia Imricha Karvaša,Bratislava-Petržalka
Obchodná akadémia Mareka Frauwirtha,Banská Bystrica
Obchodná akadémia Milana Hodžu,Trenčín
Obchodná akadémia Petra Zaťka,Liptovský Mikuláš
Obchodná akadémia sv. Tomáša Akvinského,Žilina
"Obchodná akadémia, Ul. Kálmána Kittenbergera 2",Levice
Odborné učilište,Martin
Odborné učilište internátne (Ladce),Ladce
